<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.02	00:00:00	1741.580	1744.836	1721.363	1726.591	85044	0	0
2020.06.03	00:00:00	1726.580	1729.312	1689.147	1700.430	97370	0	0
2020.06.04	00:00:00	1700.516	1721.220	1696.548	1712.394	90589	0	0
2020.06.05	00:00:00	1712.410	1715.794	1670.510	1685.512	103697	0	0
2020.06.07	00:00:00	1681.207	1682.980	1677.301	1681.323	4508	0	0
2020.06.08	00:00:00	1681.327	1700.460	1680.698	1697.243	89348	0	0
2020.06.09	00:00:00	1697.238	1720.669	1691.911	1713.099	87589	0	0
2020.06.10	00:00:00	1713.143	1739.586	1708.014	1735.483	92633	0	0
2020.06.11	00:00:00	1735.522	1744.536	1721.451	1726.573	91039	0	0
2020.06.12	00:00:00	1726.524	1742.820	1721.690	1730.552	75974	0	0
2020.06.14	00:00:00	1730.841	1733.370	1729.536	1732.553	3951	0	0
2020.06.15	00:00:00	1732.499	1733.879	1703.902	1724.066	91686	0	0
2020.06.16	00:00:00	1724.084	1732.606	1716.455	1726.328	87923	0	0
2020.06.17	00:00:00	1726.358	1730.079	1712.327	1727.483	77965	0	0
2020.06.18	00:00:00	1727.536	1736.909	1717.376	1723.432	86317	0	0
2020.06.19	00:00:00	1723.433	1745.142	1722.353	1743.537	82193	0	0
2020.06.21	00:00:00	1746.411	1749.969	1743.864	1749.125	5397	0	0
2020.06.22	00:00:00	1749.088	1762.990	1742.326	1755.265	93348	0	0
2020.06.23	00:00:00	1755.303	1770.887	1747.356	1768.606	98281	0	0
2020.06.24	00:00:00	1768.563	1779.247	1754.347	1762.084	99594	0	0
2020.06.25	00:00:00	1762.071	1768.808	1755.362	1765.644	85331	0	0
2020.06.26	00:00:00	1765.647	1771.841	1747.250	1771.280	81818	0	0
2020.06.28	00:00:00	1770.599	1775.047	1769.991	1771.212	4591	0	0
2020.06.29	00:00:00	1771.293	1774.752	1765.607	1772.865	78649	0	0
2020.06.30	00:00:00	1772.864	1785.747	1764.212	1782.766	82334	0	0
2020.07.01	00:00:00	1782.771	1789.102	1759.172	1768.239	90704	0	0
2020.07.02	00:00:00	1768.241	1779.452	1757.488	1775.664	85559	0	0
2020.07.03	00:00:00	1775.617	1777.047	1772.418	1775.733	46587	0	0
2020.07.05	00:00:00	1773.537	1775.963	1773.263	1775.327	2812	0	0
2020.07.06	00:00:00	1775.252	1786.933	1769.855	1785.747	82214	0	0
2020.07.07	00:00:00	1785.785	1797.243	1773.385	1794.333	80949	0	0
2020.07.08	00:00:00	1794.315	1817.833	1791.401	1809.054	78384	0	0
2020.07.09	00:00:00	1809.051	1815.792	1795.289	1803.825	85887	0	0
2020.07.10	00:00:00	1803.829	1810.344	1794.025	1798.621	74438	0	0
2020.07.12	00:00:00	1799.343	1801.095	1797.908	1800.013	3395	0	0
2020.07.13	00:00:00	1799.994	1813.303	1799.771	1802.270	81733	0	0
2020.07.14	00:00:00	1802.282	1810.786	1790.404	1809.434	89331	0	0
2020.07.15	00:00:00	1809.412	1814.553	1802.364	1813.023	74686	0	0
2020.07.16	00:00:00	1813.025	1813.223	1794.869	1798.280	73592	0	0
2020.07.17	00:00:00	1798.282	1811.750	1795.730	1809.765	62024	0	0
2020.07.19	00:00:00	1808.109	1810.619	1807.808	1808.998	3036	0	0
2020.07.20	00:00:00	1808.969	1820.348	1805.658	1817.921	69489	0	0
2020.07.21	00:00:00	1817.913	1847.042	1815.563	1842.981	84524	0	0
2020.07.22	00:00:00	1842.947	1874.261	1842.306	1869.876	113270	0	0
2020.07.23	00:00:00	1869.872	1898.190	1863.526	1885.395	110411	0	0
2020.07.24	00:00:00	1885.396	1906.400	1880.996	1901.143	88362	0	0
2020.07.26	00:00:00	1902.646	1914.580	1902.646	1913.493	7315	0	0
2020.07.27	00:00:00	1913.495	1966.211	1912.295	1964.980	118520	0	0
2020.07.28	00:00:00	1964.873	1980.652	1906.629	1956.072	144032	0	0
2020.07.29	00:00:00	1956.058	1980.601	1941.314	1966.483	112963	0	0
2020.07.30	00:00:00	1966.487	1970.332	1938.975	1956.910	117553	0	0
2020.07.31	00:00:00	1956.926	1982.318	1955.863	1974.958	114462	0	0
2020.08.02	00:00:00	1982.988	1984.734	1977.002	1981.738	7656	0	0
2020.08.03	00:00:00	1981.698	1982.133	1960.418	1975.265	90000	0	0
2020.08.04	00:00:00	1975.174	2030.712	1967.369	2030.712	101812	0	0
2020.08.05	00:00:00	2030.640	2055.403	2009.131	2036.290	128275	0	0
2020.08.06	00:00:00	2036.338	2073.682	2034.336	2069.007	124673	0	0
2020.08.07	00:00:00	2069.100	2071.992	2015.315	2034.818	153370	0	0
2020.08.09	00:00:00	2026.671	2030.778	2018.676	2027.120	7584	0	0
2020.08.10	00:00:00	2027.119	2049.797	2019.265	2028.128	121363	0	0
2020.08.11	00:00:00	2028.129	2028.129	1901.422	1909.025	212818	0	0
2020.08.12	00:00:00	1908.997	1949.171	1863.593	1921.874	212820	0	0
2020.08.13	00:00:00	1921.844	1966.192	1919.895	1957.332	156993	0	0
2020.08.14	00:00:00	1957.304	1961.402	1931.973	1944.376	133875	0	0
2020.08.16	00:00:00	1944.835	1951.221	1931.853	1932.534	6351	0	0
2020.08.17	00:00:00	1932.533	1990.594	1929.267	1983.634	125269	0	0
2020.08.18	00:00:00	1983.647	2015.390	1975.958	2005.186	141889	0	0
